ctrb,spk_freq,channel
1.412142315014511,0.7833333333333333,83
1.3726201874670274,0.8766666666666667,61
1.3593645770949325,0.75,65
1.3034160570764826,0.7666666666666667,71
1.2939718346712459,0.78,42
1.2520465149040234,1.0366666666666666,74
1.2282046774065982,33.81666666666667,35
1.202203381964659,104.91,26
1.1986306019962643,24.543333333333333,54
1.1794706575037668,1.0166666666666666,37
1.1772129513875926,0.9933333333333333,87
1.1762767665129021,1.1833333333333333,41
1.1747760152936753,55.75666666666667,33
1.170769605903031,79.70333333333333,67
1.1692704858055663,1.0166666666666666,27
1.1516092511972256,18.30666666666667,78
1.150213127260394,3.5633333333333335,57
1.1491619635301062,0.6966666666666667,15
1.147824082146503,0.88,14
1.1470609386387731,0.9733333333333334,23
1.1430540014455217,0.65,17
1.142098621344491,0.9566666666666667,63
1.1335681437269447,62.46333333333333,48
1.1222376705270074,0.8733333333333333,44
1.1083784334607805,51.14,43
1.1015804676230998,0.8866666666666667,56
1.099606509638336,0.9133333333333333,45
1.09929941489287,19.53,36
1.0933752437184423,4.926666666666667,25
1.0908434954943913,91.44,75
1.0850497665994212,0.7,22
1.0839709795878671,0.94,51
1.0830096448568247,1.23,85
1.0818783932393277,5.8133333333333335,47
1.0793089545863375,2.58,32
1.075161473793035,51.22666666666667,58
1.0711840118717428,63.08,64
1.0696192713886734,0.28,52
1.0694832809000419,14.536666666666667,62
1.0690863735130458,0.2733333333333333,34
1.0636290885585478,68.51666666666667,53
1.0620396093619544,14.593333333333334,28
1.0567599718077967,8.276666666666667,12
1.0531920336750176,1.43,86
1.0504412472656899,3.5,68
1.045715203521076,6.173333333333333,16
1.040393003987716,14.64,13
1.0379533160117635,1.03,46
1.0377186981339972,24.78,21
1.0363021497956404,0.8966666666666666,84
1.026493711910656,118.98333333333333,24
1.0256459792764918,28.713333333333335,76
1.0141301946921413,3.15,38
1.0139953693615518,0.78,82
1.0125016092703027,0.77,31
1.0116601091324038,1.78,72
1.0104035062452328,0.78,66
1.0092931067314237,31.963333333333335,55
1.0,7.453333333333333,73
1.0,22.376666666666665,77
