ctrb,spk_freq,channel
1.6742888341914157,3.72,55
1.564535896829073,18.293333333333333,85
1.4189958413993042,1.8466666666666667,76
1.4023637945814746,30.09,87
1.326580239221078,15.503333333333334,65
1.2802688530277355,9.243333333333334,67
1.2786674927710062,6.513333333333334,77
1.2734552503855923,30.15,34
1.2263884963512768,0.7733333333333333,68
1.210139996683693,5.083333333333333,66
1.1983704264847952,2.18,71
1.194341245063921,13.316666666666666,56
1.1625270064327315,22.613333333333333,73
1.1616770875552558,17.616666666666667,12
1.1399949372297142,21.61,75
1.1355320769933495,3.66,13
1.118626171398069,4.12,26
1.1179684548734847,135.92,44
1.1104295415274343,63.97666666666667,38
1.106995046100193,0.8533333333333334,52
1.1013590054703697,6.66,54
1.1008201687085957,8.123333333333333,16
1.0977162831131189,26.39,83
1.0964776150037356,1.2633333333333334,78
1.0955142556401152,16.333333333333332,63
1.092850639014176,15.11,21
1.092255407370409,2.57,48
1.0919678626783096,6.306666666666667,46
1.0877392911092427,1.8633333333333333,74
1.0844531565142386,5.956666666666667,27
1.0830089210282443,1.4666666666666666,58
1.0828674859767822,1.0366666666666666,86
1.079198665696641,1.41,47
1.0784328297744978,0.7733333333333333,28
1.0730255547514118,12.713333333333333,84
1.0668973103123727,21.48,43
1.06546425494191,9.84,22
1.0625362072492581,1.4933333333333334,32
1.0599182454585336,6.246666666666667,23
1.0593702601861028,2.6633333333333336,36
1.0564616587599414,4.363333333333333,45
1.0547316975236258,1.5566666666666666,24
1.0546124438227644,20.373333333333335,61
1.0525382752743668,14.103333333333333,82
1.0498208320124611,22.126666666666665,72
1.048872374201701,1.32,33
1.0485018789283804,6.016666666666667,35
1.0483702458957782,0.7866666666666666,14
1.0426732468889837,0.8666666666666667,37
1.041041832732283,0.8,15
1.0381896218687068,16.536666666666665,25
1.0378868810262174,0.7233333333333334,17
1.0343152377896978,31.326666666666668,41
1.032715731757075,19.043333333333333,42
1.0313115952059977,22.79,51
1.026546269511502,2.9466666666666668,62
1.0239989012061481,10.31,64
1.0133031571710738,3.65,53
1.0120019480625995,26.553333333333335,31
1.0110260579170962,1.3633333333333333,57
